"convert(entity,char)";"count(entity)"
"Q43";"3"
"Q1212";"2"
"Q2878";"2"
"Q2531";"2"
"Q5550";"2"
"Q4808";"2"
"Q427";"2"
"Q1143";"2"
"Q2490";"2"
"Q5587";"2"
"Q235";"2"
"Q5764";"2"
"Q586";"1"
"Q227";"1"
"Q499";"1"
"Q447";"1"
"Q1279";"1"
"Q5035";"1"
"Q4902";"1"
"Q113";"1"
"Q1004";"1"
"Q4105";"1"
"Q5633";"1"
"Q1726";"1"
"Q139";"1"
"Q5504";"1"
"Q3849";"1"
"Q3154";"1"
"Q3553";"1"
"Q994";"1"
"Q1032";"1"
"Q5722";"1"
"Q3274";"1"
"Q70";"1"
"Q4247";"1"
"Q3778";"1"
"Q4566";"1"
"Q782";"1"
"Q2575";"1"
"Q3734";"1"
"Q4447";"1"
"Q289";"1"
"Q2790";"1"
"Q2085";"1"
"Q5268";"1"
"Q3750";"1"
"Q1793";"1"
"Q157";"1"
"Q3437";"1"
"Q1873";"1"
"Q5332";"1"
"Q2603";"1"
"Q1598";"1"
"Q847";"1"
"Q4072";"1"
"Q1959";"1"
"Q5625";"1"
"Q2412";"1"
"Q2404";"1"
"Q1731";"1"
"Q3101";"1"
"Q3338";"1"
"Q195";"1"
"Q2695";"1"
"Q4863";"1"
"Q1020";"1"
"Q15";"1"
"Q799";"1"
"Q2481";"1"
"Q369";"1"
"Q503";"1"
"Q2654";"1"
"Q5714";"1"
"Q822";"1"
"Q5802";"1"
"Q214";"1"
"Q4970";"1"
"Q1240";"1"
"Q798";"1"
"Q4320";"1"
"Q2659";"1"
"Q2795";"1"
"Q533";"1"
"Q4984";"1"
"Q557";"1"
"Q1435";"1"
"Q1323";"1"
"Q4813";"1"
"Q2725";"1"
"Q4486";"1"
"Q566";"1"
"Q32";"1"
"Q4496";"1"
"Q2620";"1"
"Q4787";"1"
"Q5315";"1"
"Q3775";"1"
"Q955";"1"
"Q2502";"1"
"Q3209";"1"
"Q1542";"1"
"Q4159";"1"
"Q1769";"1"
"Q1672";"1"
"Q621";"1"
"Q53";"1"
"Q4972";"1"
"Q4634";"1"
"Q2297";"1"
"Q3102";"1"
"Q738";"1"
"Q3781";"1"
"Q2895";"1"
"Q1286";"1"
"Q2946";"1"
"Q423";"1"
"Q1865";"1"
"Q2800";"1"
"Q1842";"1"
"Q5581";"1"
"Q2925";"1"
"Q4937";"1"
"Q2186";"1"
"Q1384";"1"
"Q284";"1"
"Q2275";"1"
"Q4388";"1"
"Q2314";"1"
"Q2801";"1"
"Q4695";"1"
"Q2942";"1"
"Q4028";"1"
"Q4561";"1"
"Q515";"1"
"Q4044";"1"
"Q587";"1"
"Q5334";"1"
"Q31";"1"
"Q819";"1"
"Q1441";"1"
"Q763";"1"
"Q5080";"1"
"Q3153";"1"
"Q1162";"1"
"Q2098";"1"
"Q1633";"1"
"Q3772";"1"
"Q524";"1"
"Q148";"1"
"Q5660";"1"
"Q2184";"1"
"Q228";"1"
"Q401";"1"
"Q393";"1"
"Q1917";"1"
"Q1523";"1"
"Q611";"1"
"Q5594";"1"
"Q1821";"1"
"Q2434";"1"
"Q3213";"1"
"Q3042";"1"
"Q3029";"1"
"Q2343";"1"
"Q660";"1"
"Q1748";"1"
"Q4076";"1"
"Q3660";"1"
"Q19";"1"
"Q1568";"1"
"Q3549";"1"
"Q221";"1"
"Q2592";"1"
"Q5512";"1"
"Q4768";"1"
"Q275";"1"
"Q3465";"1"
"Q1156";"1"
"Q2235";"1"
"Q1253";"1"
"Q2485";"1"
"Q1419";"1"
"Q1752";"1"
"Q4165";"1"
"Q1283";"1"
"Q5489";"1"
"Q481";"1"
"Q140";"1"
"Q5631";"1"
"Q4124";"1"
"Q2677";"1"
"Q1693";"1"
"Q4885";"1"
"Q3624";"1"
"Q2341";"1"
"Q836";"1"
"Q5190";"1"
"Q5469";"1"
"Q180";"1"
"Q2028";"1"
"Q5221";"1"
"Q899";"1"
"Q2967";"1"
"Q2022";"1"
"Q4199";"1"
"Q2969";"1"
"Q1778";"1"
"Q1363";"1"
"Q3672";"1"
"Q172";"1"
"Q2698";"1"
"Q2804";"1"
"Q1944";"1"
"Q2114";"1"
"Q2836";"1"
"Q1007";"1"
"Q4689";"1"
"Q2808";"1"
"Q1399";"1"
"Q4781";"1"
"Q3606";"1"
"Q5507";"1"
"Q5658";"1"
"Q5404";"1"
